Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
80,Bailey Ober,27,MIN,AL,2.9,8,6,0.571,3.43,26,26,0,0,0,0,144.1,125,58,55,22,29,0,146,7,0,1,577,128,3.96,1.067,7.8,1.4,1.8,9.1,5.03,
81,Trevor Williams,31,WSN,NL,-0.1,6,10,0.375,5.55,30,30,0,0,0,0,144.1,178,97,89,34,53,1,111,5,2,0,659,77,5.98,1.6,11.1,2.1,3.3,6.9,2.09,
82,Jack Flaherty,27,2TM,2LG,0.8,8,9,0.471,4.99,29,27,0,0,0,0,144.1,162,83,80,17,66,2,148,12,0,8,650,87,4.36,1.58,10.1,1.1,4.1,9.2,2.24,
83,Jack Flaherty,27,STL,NL,1.4,7,6,0.538,4.43,20,20,0,0,0,0,109.2,116,56,54,10,54,0,106,8,0,6,485,99,4.2,1.55,9.5,0.8,4.4,8.7,1.96,
84,Jack Flaherty,27,BAL,AL,-0.6,1,3,0.25,6.75,9,7,0,0,0,0,34.2,46,27,26,7,12,2,42,4,0,2,165,61,4.84,1.673,11.9,1.8,3.1,10.9,3.5,
85,Nathan Eovaldi,33,TEX,AL,3.1,12,5,0.706,3.63,25,25,0,2,1,0,144,117,59,58,15,47,0,132,6,0,2,577,118,3.88,1.139,7.3,0.9,2.9,8.3,2.81,AS
86,Ryne Nelson,25,ARI,NL,0,8,8,0.5,5.31,29,27,1,0,0,0,144,159,87,85,24,46,0,96,1,1,6,619,83,5.07,1.424,9.9,1.5,2.9,6,2.09,
87,Nick Pivetta,30,BOS,AL,2.3,10,9,0.526,4.04,38,16,3,0,0,1,142.2,110,69,64,23,50,1,183,6,1,5,587,113,3.96,1.121,6.9,1.5,3.2,11.5,3.66,
88,Zack Greinke,39,KCR,AL,1,2,15,0.118,5.06,30,27,0,0,0,0,142.1,158,82,80,25,23,0,97,4,1,2,593,88,4.74,1.272,10,1.6,1.5,6.1,4.22,
89,Drew Smyly*,34,CHC,NL,0,11,11,0.5,5,41,23,4,0,0,0,142.1,147,89,79,26,56,0,141,6,1,9,626,85,4.96,1.426,9.3,1.6,3.5,8.9,2.52,
90,Tanner Bibee,24,CLE,AL,3.7,10,4,0.714,2.98,25,25,0,0,0,0,142,122,49,47,13,45,0,141,5,2,7,585,143,3.52,1.176,7.7,0.8,2.9,8.9,3.13,ROY-2
91,Martín Pérez*,32,TEX,AL,0.8,10,4,0.714,4.45,35,20,3,0,0,0,141.2,150,74,70,21,49,1,93,4,3,2,608,96,4.99,1.405,9.5,1.3,3.1,5.9,1.9,
92,Tyler Anderson*,33,LAA,AL,0.2,6,6,0.5,5.43,27,25,0,0,0,0,141,146,90,85,20,64,1,119,7,2,6,629,82,4.92,1.489,9.3,1.3,4.1,7.6,1.86,
93,Ken Waldichuk*,25,OAK,AL,0,4,9,0.308,5.36,35,22,2,0,0,1,141,149,93,84,24,71,1,132,9,1,7,639,78,5.3,1.56,9.5,1.5,4.5,8.4,1.86,
94,Austin Gomber*,29,COL,NL,1,9,9,0.5,5.5,27,27,0,0,0,0,139,164,88,85,26,43,1,87,3,0,5,603,90,5.43,1.489,10.6,1.7,2.8,5.6,2.02,
95,Kyle Hendricks,33,CHC,NL,1.4,6,8,0.429,3.74,24,24,0,0,0,0,137,138,68,57,13,27,0,93,4,0,0,578,114,3.81,1.204,9.1,0.9,1.8,6.1,3.44,
96,Marcus Stroman,32,CHC,NL,1.6,10,9,0.526,3.95,27,25,1,1,1,0,136.2,120,68,60,9,52,0,119,3,0,3,575,108,3.58,1.259,7.9,0.6,3.4,7.8,2.29,AS
97,Yu Darvish,36,SDP,NL,0.7,8,10,0.444,4.56,24,24,0,0,0,0,136.1,134,71,69,18,43,0,141,8,1,1,574,93,4.03,1.298,8.8,1.2,2.8,9.3,3.28,
98,J.P. France,28,HOU,AL,1.5,11,6,0.647,3.83,24,23,0,0,0,0,136.1,138,64,58,19,47,0,101,2,0,6,581,111,4.66,1.357,9.1,1.3,3.1,6.7,2.15,
99,MacKenzie Gore*,24,WSN,NL,2,7,10,0.412,4.42,27,27,0,0,0,0,136.1,134,71,67,27,57,0,151,1,0,6,582,96,4.89,1.401,8.8,1.8,3.8,10,2.65,
100,Michael Wacha,31,SDP,NL,2.5,14,4,0.778,3.22,24,24,0,0,0,0,134.1,113,49,48,15,43,0,124,3,1,3,553,131,3.89,1.161,7.6,1,2.9,8.3,2.88,
101,Shohei Ohtani,28,LAA,AL,3.9,10,5,0.667,3.14,23,23,0,1,1,0,132,85,50,46,18,55,0,167,11,0,12,531,142,4,1.061,5.8,1.2,3.8,11.4,3.04,"AS,MVP-1,SS"
102,Clayton Kershaw*,35,LAD,NL,3.8,13,5,0.722,2.46,24,24,0,0,0,0,131.2,100,39,36,19,40,0,137,3,2,6,523,175,4.03,1.063,6.8,1.3,2.7,9.4,3.43,AS
103,Mike Clevinger,32,CHW,AL,3.3,9,9,0.5,3.77,24,24,0,2,0,0,131.1,121,56,55,16,40,0,110,9,0,6,549,117,4.28,1.226,8.3,1.1,2.7,7.5,2.75,
104,Bryce Miller,24,SEA,AL,1.2,8,7,0.533,4.32,25,25,0,0,0,0,131.1,124,64,63,18,26,0,119,7,0,2,537,91,3.98,1.142,8.5,1.2,1.8,8.2,4.58,
105,Kutter Crawford,27,BOS,AL,2.6,6,8,0.429,4.04,31,23,5,0,0,0,129.1,107,59,58,17,36,0,135,5,0,4,527,113,3.83,1.106,7.4,1.2,2.5,9.4,3.75,
106,Michael Kopech,27,CHW,AL,0.7,5,12,0.294,5.43,30,27,2,0,0,0,129.1,115,80,78,29,91,0,134,11,0,9,591,81,6.46,1.593,8,2,6.3,9.3,1.47,
107,Shane Bieber,28,CLE,AL,1.8,6,6,0.5,3.8,21,21,0,1,0,0,128,124,56,54,14,34,0,107,3,1,8,533,112,3.87,1.234,8.7,1,2.4,7.5,3.15,
108,Griffin Canning,27,LAA,AL,2,7,8,0.467,4.32,24,22,0,0,0,0,127,121,62,61,22,36,1,139,5,0,4,536,103,4.29,1.236,8.6,1.6,2.6,9.9,3.86,
109,Tylor Megill,27,NYM,NL,0.7,9,8,0.529,4.7,25,25,0,0,0,0,126.1,141,76,66,18,58,0,105,6,0,8,567,89,4.96,1.575,10,1.3,4.1,7.5,1.81,
110,Logan Allen*,24,CLE,AL,1.6,7,8,0.467,3.81,24,24,0,0,0,0,125.1,127,55,53,16,48,0,119,1,0,1,537,112,4.19,1.396,9.1,1.1,3.4,8.5,2.48,
111,Ranger Suárez*,27,PHI,NL,2.4,4,6,0.4,4.18,22,22,0,0,0,0,125,129,59,58,13,48,0,119,2,0,4,540,103,3.9,1.416,9.3,0.9,3.5,8.6,2.48,
112,Colin Rea,32,MIL,NL,0.6,6,6,0.5,4.55,26,22,1,0,0,0,124.2,110,65,63,23,38,0,110,4,1,2,517,95,4.9,1.187,7.9,1.7,2.7,7.9,2.89,
113,Bobby Miller,24,LAD,NL,2.1,11,4,0.733,3.76,22,22,0,0,0,0,124.1,105,53,52,12,32,0,119,6,0,10,505,114,3.51,1.102,7.6,0.9,2.3,8.6,3.72,
114,Luke Weaver,29,3TM,2LG,-0.7,3,6,0.333,6.4,29,25,1,0,0,0,123.2,155,90,88,29,40,0,109,4,0,3,563,71,5.61,1.577,11.3,2.1,2.9,7.9,2.73,
115,Luke Weaver,29,2TM,AL,0.2,1,2,0.333,4.73,8,4,1,0,0,0,26.2,30,14,14,5,6,0,24,1,0,0,115,90,4.68,1.35,10.1,1.7,2,8.1,4,
116,Luke Weaver,29,CIN,NL,-0.8,2,4,0.333,6.87,21,21,0,0,0,0,97,125,76,74,24,34,0,85,3,0,3,448,68,5.86,1.639,11.6,2.2,3.2,7.9,2.5,
117,Luke Weaver,29,SEA,AL,-0.2,0,1,0,6.08,5,1,1,0,0,0,13.1,16,9,9,2,3,0,8,1,0,0,58,67,4.91,1.425,10.8,1.4,2,5.4,2.67,
118,Luke Weaver,29,NYY,AL,0.3,1,1,0.5,3.38,3,3,0,0,0,0,13.1,14,5,5,3,3,0,16,0,0,0,57,132,4.46,1.275,9.5,2,2,10.8,5.33,
119,Aaron Civale,28,2TM,AL,2.5,7,5,0.583,3.46,23,23,0,0,0,0,122.1,109,47,47,12,33,0,116,5,0,5,504,123,3.57,1.161,8,0.9,2.4,8.5,3.52,
120,Aaron Civale,28,CLE,AL,2.7,5,2,0.714,2.34,13,13,0,0,0,0,77,58,20,20,5,22,0,58,2,0,4,306,182,3.53,1.039,6.8,0.6,2.6,6.8,2.64,
121,Aaron Civale,28,TBR,AL,-0.1,2,3,0.4,5.36,10,10,0,0,0,0,45.1,51,27,27,7,11,0,58,3,0,1,198,79,3.63,1.368,10.1,1.4,2.2,11.5,5.27,
122,Grayson Rodriguez,23,BAL,AL,0.9,7,4,0.636,4.35,23,23,0,0,0,0,122,121,62,59,16,42,0,129,2,0,4,515,94,3.93,1.336,8.9,1.2,3.1,9.5,3.07,
123,Jake Irvin,26,WSN,NL,1.1,3,7,0.3,4.61,24,24,0,0,0,0,121,118,66,62,20,54,0,99,8,1,2,530,92,5.3,1.421,8.8,1.5,4,7.4,1.83,
124,Wade Miley*,36,MIL,NL,2.6,9,4,0.692,3.14,23,23,0,0,0,0,120.1,99,44,42,16,38,0,79,3,0,2,490,137,4.69,1.139,7.4,1.2,2.8,5.9,2.08,
125,Tyler Glasnow,29,TBR,AL,2,10,7,0.588,3.53,21,21,0,0,0,0,120,93,52,47,13,37,0,162,1,0,11,485,119,2.91,1.083,7,1,2.8,12.2,4.38,
126,Tyler Wells,28,BAL,AL,1.8,7,6,0.538,3.64,25,20,2,0,0,1,118.2,83,50,48,25,34,0,117,4,2,3,470,112,4.98,0.986,6.3,1.9,2.6,8.9,3.44,
127,Sean Manaea*,31,SFG,NL,0.3,7,6,0.538,4.44,37,10,2,0,0,1,117.2,104,68,58,14,42,0,128,8,0,3,499,94,3.9,1.241,8,1.1,3.2,9.8,3.05,
128,Julio Urías*,26,LAD,NL,0.7,11,8,0.579,4.6,21,21,0,0,0,0,117.1,112,61,60,24,24,0,117,6,1,2,482,94,4.69,1.159,8.6,1.8,1.8,9,4.88,
129,Brandon Williamson*,25,CIN,NL,1.6,5,5,0.5,4.46,23,23,0,0,0,0,117,111,63,58,18,39,0,98,2,2,4,491,104,4.63,1.282,8.5,1.4,3,7.5,2.51,
